id,first_name,last_name,email,gender,quota,revenue,commission,start_date
1,Susanna,Checo,scheco0@jiathis.com,Female,98006.61,41311.51,26.02,5/14/2019
2,Dieter,Noulton,dnoulton1@odnoklassniki.ru,Male,19763.55,64069.29,18.31,9/7/2019
3,Jacqueline,Huckstepp,jhuckstepp2@canalblog.com,Female,90595.03,25146.97,27.91,11/13/2019
4,Ransom,Izzett,rizzett3@npr.org,Male,24023.58,45127.63,27.05,10/14/2019
5,Jewel,Croster,jcroster4@msu.edu,Female,97628.44,20284.53,27.48,3/7/2020
6,Lanie,Clausewitz,lclausewitz5@about.com,Female,80007.6,35176.3,9.56,1/6/2020
7,Englebert,Slite,eslite6@biglobe.ne.jp,Male,76544.19,16304.53,3.98,12/15/2019
8,Harrison,Muckleston,hmuckleston7@nhs.uk,Male,85972.67,19799.84,22.3,5/1/2020
9,Catrina,Grogan,cgrogan8@list-manage.com,Female,72150.75,82507.21,13.37,2/13/2020
10,Kearney,Murfill,kmurfill9@icio.us,Male,13156.85,68048.57,12.28,4/20/2020
11,Tann,Maleck,tmalecka@yelp.com,Male,49753.56,33466.65,16.04,7/8/2019
12,Warner,Keward,wkewardb@google.it,Male,67838.86,,19.77,1/2/2020
13,Damian,Goatcher,dgoatcherc@nydailynews.com,Male,1204.41,94053.18,12.12,9/5/2019
14,Niall,Clapston,nclapstond@naver.com,Male,78343.59,68100.9,22.06,10/11/2019
15,Hurlee,Harber,hharbere@netlog.com,Male,11610.07,98260.63,29.22,10/8/2019
16,Aguie,Levitt,alevittf@usnews.com,Male,26938.86,99412.82,10.19,4/5/2020
17,Pascale,Royce,proyceg@spotify.com,Male,51640.36,46909.55,9.07,12/28/2019
18,Leticia,Lemon,llemonh@devhub.com,Female,31242.76,7181.36,9.7,7/11/2019
19,Demetris,Attridge,dattridgei@naver.com,Male,17072.54,35007.94,27.11,5/14/2019
20,Aland,O'Siaghail,aosiaghailj@etsy.com,Male,86185.12,23201.19,1.79,3/31/2020
21,Michale,Luffman,mluffmank@flickr.com,Male,91590.86,70137.25,29.35,8/18/2019
22,Lizabeth,Arminger,larmingerl@stumbleupon.com,Female,59431.18,29784.37,29.4,9/11/2019
23,Arnold,Sheron,asheronm@yellowbook.com,Male,79226.08,3880.31,24.57,4/7/2020
24,Branden,Bagot,bbagotn@devhub.com,Male,53463.37,91484.6,28.87,8/12/2019
25,Haley,Cartan,hcartano@jalbum.net,Female,55898.54,48858.01,10.77,1/4/2020
26,Corbett,Cicetti,ccicettip@list-manage.com,Male,49549.44,74100.41,25.93,12/1/2019
27,Guenevere,Mallows,gmallowsq@ucla.edu,Female,83903.35,2457.38,21.61,3/17/2020
28,Florinda,Miskelly,fmiskellyr@creativecommons.org,Female,30236.69,32031.81,18.42,12/29/2019
29,Gunther,Meconi,gmeconis@kickstarter.com,Male,30206.53,85306.18,9.19,12/3/2019
30,Trix,Hachette,thachettet@alibaba.com,Female,56591.45,45244.79,28.23,2/18/2020
31,Ethelda,Caustic,ecausticu@nih.gov,Female,21440.87,47953.94,13.77,10/11/2019
32,Amil,Giovannardi,agiovannardiv@stanford.edu,Female,55431.0,80897.79,18.11,9/2/2019
33,Nicolette,Larkby,nlarkbyw@nps.gov,Female,9028.13,91591.57,1.93,10/25/2019
34,Becki,Gillam,bgillamx@pen.io,Female,1180.05,81984.93,5.37,7/16/2019
35,Marcelo,Casterton,mcastertony@senate.gov,Male,2535.32,73949.56,4.93,10/21/2019
36,Isabella,Alibone,ialibonez@oakley.com,Female,12883.35,28814.21,9.46,3/24/2020
